x,y,z,q0,q1,q2,q3,U
   -3.500000    ,   -1.500000    ,   0.5000000    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                     -0.126838                     
   -3.500000    ,   -1.500000    ,   1.5000000    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                     -0.125995                     
   -3.500000    ,   -1.500000    ,   2.5000000    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                     -0.125188                     
   -3.500000    ,   -1.500000    ,   3.5000000    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                     -0.123898                     
   -3.500000    ,   -1.500000    ,   4.5000000    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                     -0.123495                     
   -3.500000    ,   -0.500000    ,   -4.500000    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                     -0.123654                     
   -3.500000    ,   -0.500000    ,   -3.500000    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                     -0.124821                     
   -3.500000    ,   -0.500000    ,   -2.500000    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                     -0.126189                     
   -3.500000    ,   -0.500000    ,   -1.500000    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                     -0.127732                     
   -3.500000    ,   -0.500000    ,   -0.500000    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                     -0.128758                     
   -3.500000    ,   -0.500000    ,   0.5000000    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                     -0.128758                     
   -3.500000    ,   -0.500000    ,   1.5000000    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                     -0.127732                     
   -3.500000    ,   -0.500000    ,   2.5000000    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                     -0.126189                     
   -3.500000    ,   -0.500000    ,   3.5000000    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                     -0.124821                     
   -3.500000    ,   -0.500000    ,   4.5000000    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                     -0.123654                     
   -3.500000    ,   0.5000000    ,   -4.500000    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                     -0.123654                     
   -3.500000    ,   0.5000000    ,   -3.500000    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                     -0.124821                     
   -3.500000    ,   0.5000000    ,   -2.500000    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                     -0.126189                     
   -3.500000    ,   0.5000000    ,   -1.500000    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                     -0.127732                     
   -3.500000    ,   0.5000000    ,   -0.500000    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                     -0.128758                     
   -3.500000    ,   0.5000000    ,   0.5000000    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                     -0.128758                     
   -3.500000    ,   0.5000000    ,   1.5000000    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                     -0.127732                     
   -3.500000    ,   0.5000000    ,   2.5000000    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                     -0.126189                     
   -3.500000    ,   0.5000000    ,   3.5000000    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                     -0.124821                     
   -3.500000    ,   0.5000000    ,   4.5000000    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                     -0.123654                     
   -3.500000    ,   1.5000000    ,   -4.500000    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                     -0.123495                     
   -3.500000    ,   1.5000000    ,   -3.500000    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                     -0.123898                     
   -3.500000    ,   1.5000000    ,   -2.500000    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                     -0.125188                     
   -3.500000    ,   1.5000000    ,   -1.500000    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                     -0.125995                     
   -3.500000    ,   1.5000000    ,   -0.500000    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                     -0.126838                     
   -3.500000    ,   1.5000000    ,   0.5000000    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                     -0.126838                     
   -3.500000    ,   1.5000000    ,   1.5000000    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                     -0.125995                     
   -3.500000    ,   1.5000000    ,   2.5000000    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                     -0.125188                     
   -3.500000    ,   1.5000000    ,   3.5000000    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                     -0.123898                     
   -3.500000    ,   1.5000000    ,   4.5000000    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                     -0.123495                     
   -3.500000    ,   2.5000000    ,   -4.500000    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                     -0.123311                     
   -3.500000    ,   2.5000000    ,   -3.500000    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                     -0.123495                     
   -3.500000    ,   2.5000000    ,   -2.500000    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                     -0.124181                     
   -3.500000    ,   2.5000000    ,   -1.500000    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                     -0.124549                     
   -3.500000    ,   2.5000000    ,   -0.500000    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                     -0.124972                     
   -3.500000    ,   2.5000000    ,   0.5000000    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                     -0.124972                     
   -3.500000    ,   2.5000000    ,   1.5000000    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                     -0.124549                     
   -3.500000    ,   2.5000000    ,   2.5000000    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                     -0.124181                     
   -3.500000    ,   2.5000000    ,   3.5000000    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                     -0.123495                     
   -3.500000    ,   2.5000000    ,   4.5000000    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                     -0.123311                     
   -3.500000    ,   3.5000000    ,   -4.500000    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                     -0.123047                     
   -3.500000    ,   3.5000000    ,   -3.500000    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                     -0.123047                     
   -3.500000    ,   3.5000000    ,   -2.500000    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                     -0.123311                     
   -3.500000    ,   3.5000000    ,   -1.500000    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                     -0.123311                     
   -3.500000    ,   3.5000000    ,   -0.500000    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                     -0.123575                     
   -3.500000    ,   3.5000000    ,   0.5000000    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                     -0.123575                     
   -3.500000    ,   3.5000000    ,   1.5000000    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                     -0.123311                     
   -3.500000    ,   3.5000000    ,   2.5000000    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                     -0.123311                     
   -3.500000    ,   3.5000000    ,   3.5000000    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                     -0.123047                     
   -3.500000    ,   3.5000000    ,   4.5000000    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                     -0.123047                     
